"customer_id,""genre"",""late_return_count"""
244,Comedy,6
469,Games,6
506,Action,6
560,Action,6
38,Classics,5
64,Documentary,5
75,Family,5
116,Family,5
137,Sports,5
168,Foreign,5
196,Animation,5
257,Family,5
274,New,5
277,Sports,5
373,Animation,5
427,Documentary,5
437,Foreign,5
454,Sports,5
494,Sports,5
513,Horror,5
2,Sports,4
5,Classics,4
12,Drama,4
12,Horror,4
26,Documentary,4
38,Children,4
50,Foreign,4
51,Action,4
57,Action,4
66,Games,4
71,Action,4
74,Sci-Fi,4
80,New,4
90,Animation,4
107,Sci-Fi,4
121,Documentary,4
125,Documentary,4
130,Sci-Fi,4
132,Classics,4
135,Children,4
137,Comedy,4
142,Documentary,4
144,Action,4
145,Animation,4
148,Horror,4
149,Sports,4
150,Sports,4
155,Documentary,4
172,Children,4
176,Foreign,4
178,Foreign,4
186,Foreign,4
196,Games,4
198,Games,4
200,Games,4
206,New,4
210,New,4
211,Family,4
211,Music,4
216,Travel,4
227,Documentary,4
230,Sci-Fi,4
236,Animation,4
240,New,4
241,Family,4
242,New,4
258,Family,4
259,Sports,4
260,Music,4
264,Sci-Fi,4
267,New,4
268,Children,4
285,Sci-Fi,4
287,Animation,4
293,Sports,4
295,Sports,4
311,Documentary,4
313,New,4
316,Sports,4
323,Travel,4
326,Horror,4
330,Documentary,4
339,Sports,4
343,Children,4
358,Comedy,4
360,New,4
362,Sports,4
363,Action,4
371,Sports,4
380,Foreign,4
385,Sports,4
390,Music,4
400,Comedy,4
400,Sci-Fi,4
404,Documentary,4
405,Documentary,4
410,Family,4
410,Sci-Fi,4
414,Travel,4
422,Games,4
436,Comedy,4
438,Animation,4
441,New,4
459,Comedy,4
461,Sci-Fi,4
468,Animation,4
472,Comedy,4
472,Music,4
487,Action,4
487,Documentary,4
490,Animation,4
491,Sci-Fi,4
494,Animation,4
497,Family,4
498,New,4
502,Documentary,4
504,Drama,4
508,Action,4
522,Games,4
526,Family,4
532,Classics,4
533,Sports,4
539,Sports,4
545,Family,4
550,Family,4
559,Animation,4
562,Foreign,4
569,Sports,4
571,Sports,4
581,Animation,4
581,Foreign,4
591,Animation,4
591,Sports,4
1,Comedy,3
3,Action,3
3,Animation,3
5,Animation,3
5,New,3
6,Drama,3
7,New,3
7,Sports,3
9,Comedy,3
10,Documentary,3
14,Foreign,3
15,Children,3
16,Animation,3
16,Family,3
16,Sports,3
17,Family,3
20,Sports,3
21,Sci-Fi,3
22,Foreign,3
23,Animation,3
23,Sci-Fi,3
26,Action,3
26,Foreign,3
27,Documentary,3
29,Children,3
30,Comedy,3
32,Family,3
35,Action,3
35,Sports,3
38,Foreign,3
41,Games,3
42,Action,3
47,Comedy,3
48,Foreign,3
48,Music,3
50,Children,3
51,Comedy,3
52,Documentary,3
53,Classics,3
54,Animation,3
54,Comedy,3
56,Action,3
56,Comedy,3
58,Action,3
59,Comedy,3
62,Games,3
63,Documentary,3
63,Drama,3
66,Drama,3
69,Family,3
69,Sci-Fi,3
71,Music,3
72,Animation,3
73,Games,3
74,Animation,3
75,Classics,3
76,Animation,3
77,Family,3
78,Action,3
78,Animation,3
78,Sports,3
82,Animation,3
82,Sci-Fi,3
83,Classics,3
86,Horror,3
87,Sports,3
90,Sci-Fi,3
91,Documentary,3
91,Sports,3
92,Horror,3
93,Classics,3
96,Documentary,3
96,Foreign,3
98,Sports,3
102,Action,3
102,Family,3
102,Sci-Fi,3
102,Sports,3
103,Action,3
103,Horror,3
104,Foreign,3
105,Children,3
105,Music,3
108,Comedy,3
109,Sci-Fi,3
112,New,3
113,Documentary,3
115,Foreign,3
118,Games,3
119,Sci-Fi,3
119,Sports,3
120,Action,3
122,Drama,3
122,Horror,3
122,Sports,3
123,Documentary,3
126,Family,3
126,New,3
127,Family,3
129,Action,3
129,Classics,3
129,Family,3
131,Animation,3
132,Sports,3
133,Documentary,3
134,Drama,3
135,Family,3
137,Horror,3
137,Travel,3
138,Documentary,3
138,Sports,3
144,Classics,3
146,Music,3
147,Sports,3
148,Action,3
148,Games,3
148,Sci-Fi,3
149,Sci-Fi,3
150,Games,3
151,Documentary,3
153,Classics,3
158,Documentary,3
160,Music,3
161,Foreign,3
163,New,3
166,Classics,3
166,Sci-Fi,3
171,Games,3
172,Action,3
172,Animation,3
173,Documentary,3
175,New,3
176,Animation,3
176,Comedy,3
178,Drama,3
178,Travel,3
179,Documentary,3
180,Documentary,3
181,Classics,3
181,Family,3
184,Drama,3
187,Action,3
187,Music,3
190,Horror,3
192,Comedy,3
196,Documentary,3
197,Comedy,3
198,Documentary,3
198,Foreign,3
199,Children,3
200,Family,3
201,Animation,3
201,Sports,3
203,Action,3
204,Foreign,3
206,Documentary,3
207,Games,3
209,Children,3
209,Documentary,3
210,Foreign,3
210,Sports,3
211,Animation,3
212,Children,3
212,Classics,3
214,Sports,3
215,Foreign,3
221,Comedy,3
